code,name,name_en,full_name,full_name_en,code_name,district_code,center
21421,Đức Thạnh,Duc Thanh,Xã Đức Thạnh,Duc Thanh Commune,duc_thanh,533,
21424,Đức Hòa,Duc Hoa,Xã Đức Hòa,Duc Hoa Commune,duc_hoa,533,"14.9072301, 108.9116551"
21427,Đức Tân,Duc Tan,Xã Đức Tân,Duc Tan Commune,duc_tan,533,
21430,Đức Phú,Duc Phu,Xã Đức Phú,Duc Phu Commune,duc_phu,533,
21433,Đức Phong,Duc Phong,Xã Đức Phong,Duc Phong Commune,duc_phong,533,"14.9277448, 108.9181156218983"
21436,Đức Lân,Duc Lan,Xã Đức Lân,Duc Lan Commune,duc_lan,533,
21439,Nguyễn Nghiêm,Nguyen Nghiem,Phường Nguyễn Nghiêm,Nguyen Nghiem Ward,nguyen_nghiem,534,"14.8353997, 108.9451793"
21442,Phổ An,Pho An,Xã Phổ An,Pho An Commune,pho_an,534,"14.88816255, 108.95035924263783"
21445,Phổ Phong,Pho Phong,Xã Phổ Phong,Pho Phong Commune,pho_phong,534,"14.8753375, 108.8958559"
21448,Phổ Thuận,Pho Thuan,Xã Phổ Thuận,Pho Thuan Commune,pho_thuan,534,"14.867168, 108.9257613"
21451,Phổ Văn,Pho Van,Phường Phổ Văn,Pho Van Ward,pho_van,534,"14.893224, 108.94731252687339"
21454,Phổ Quang,Pho Quang,Phường Phổ Quang,Pho Quang Ward,pho_quang,534,"14.8489078, 108.97320995000001"
21457,Phổ Nhơn,Pho Nhon,Xã Phổ Nhơn,Pho Nhon Commune,pho_nhon,534,"14.8531508, 108.8696917"
21460,Phổ Ninh,Pho Ninh,Phường Phổ Ninh,Pho Ninh Ward,pho_ninh,534,"14.82241885, 108.95181199593529"
21463,Phổ Minh,Pho Minh,Phường Phổ Minh,Pho Minh Ward,pho_minh,534,
21466,Phổ Vinh,Pho Vinh,Phường Phổ Vinh,Pho Vinh Ward,pho_vinh,534,
21469,Phổ Hòa,Pho Hoa,Phường Phổ Hòa,Pho Hoa Ward,pho_hoa,534,"14.893224, 108.94731252687339"
21472,Phổ Cường,Pho Cuong,Xã Phổ Cường,Pho Cuong Commune,pho_cuong,534,
21475,Phổ Khánh,Pho Khanh,Xã Phổ Khánh,Pho Khanh Commune,pho_khanh,534,
21478,Phổ Thạnh,Pho Thanh,Phường Phổ Thạnh,Pho Thanh Ward,pho_thanh,534,
21481,Phổ Châu,Pho Chau,Xã Phổ Châu,Pho Chau Commune,pho_chau,534,
21484,Ba Tơ,Ba To,Thị trấn Ba Tơ,Ba To Township,ba_to,535,"14.7629251, 108.7312111"
21487,Ba Điền,Ba Dien,Xã Ba Điền,Ba Dien Commune,ba_dien,535,
21490,Ba Vinh,Ba Vinh,Xã Ba Vinh,Ba Vinh Commune,ba_vinh,535,
21493,Ba Thành,Ba Thanh,Xã Ba Thành,Ba Thanh Commune,ba_thanh,535,
21496,Ba Động,Ba Dong,Xã Ba Động,Ba Dong Commune,ba_dong,535,"14.767062200000002, 108.73004544956984"
21499,Ba Dinh,Ba Dinh,Xã Ba Dinh,Ba Dinh Commune,ba_dinh,535,
21500,Ba Giang,Ba Giang,Xã Ba Giang,Ba Giang Commune,ba_giang,535,
21502,Ba Liên,Ba Lien,Xã Ba Liên,Ba Lien Commune,ba_lien,535,"14.75961, 108.729759"
21505,Ba Ngạc,Ba Ngac,Xã Ba Ngạc,Ba Ngac Commune,ba_ngac,535,
21508,Ba Khâm,Ba Kham,Xã Ba Khâm,Ba Kham Commune,ba_kham,535,
21511,Ba Cung,Ba Cung,Xã Ba Cung,Ba Cung Commune,ba_cung,535,
21517,Ba Tiêu,Ba Tieu,Xã Ba Tiêu,Ba Tieu Commune,ba_tieu,535,
21520,Ba Trang,Ba Trang,Xã Ba Trang,Ba Trang Commune,ba_trang,535,
21523,Ba Tô,Ba To,Xã Ba Tô,Ba To Commune,ba_to,535,"14.7629251, 108.7312111"
21526,Ba Bích,Ba Bich,Xã Ba Bích,Ba Bich Commune,ba_bich,535,
21529,Ba Vì,Ba Vi,Xã Ba Vì,Ba Vi Commune,ba_vi,535,
21532,Ba Lế,Ba Le,Xã Ba Lế,Ba Le Commune,ba_le,535,
21535,Ba Nam,Ba Nam,Xã Ba Nam,Ba Nam Commune,ba_nam,535,
21538,Ba Xa,Ba Xa,Xã Ba Xa,Ba Xa Commune,ba_xa,535,
21550,Nhơn Bình,Nhon Binh,Phường Nhơn Bình,Nhon Binh Ward,nhon_binh,540,"13.7930428, 109.1910371"
21553,Nhơn Phú,Nhon Phu,Phường Nhơn Phú,Nhon Phu Ward,nhon_phu,540,"13.7945583, 109.1813114"
21556,Đống Đa,Dong Da,Phường Đống Đa,Dong Da Ward,dong_da,540,"13.7830607, 109.2184836"
21559,Trần Quang Diệu,Tran Quang Dieu,Phường Trần Quang Diệu,Tran Quang Dieu Ward,tran_quang_dieu,540,"13.786352, 109.1482711"
21562,Hải Cảng,Hai Cang,Phường Hải Cảng,Hai Cang Ward,hai_cang,540,"13.7729543, 109.243998"
21565,Quang Trung,Quang Trung,Phường Quang Trung,Quang Trung Ward,quang_trung,540,"13.7625524, 109.2103704"
21568,Thị Nại,Thi Nai,Phường Thị Nại,Thi Nai Ward,thi_nai,540,"13.7837626, 109.2243306"
21571,Lê Hồng Phong,Le Hong Phong,Phường Lê Hồng Phong,Le Hong Phong Ward,le_hong_phong,540,"13.7745674, 109.227269"
21574,Trần Hưng Đạo,Tran Hung Dao,Phường Trần Hưng Đạo,Tran Hung Dao Ward,tran_hung_dao,540,"13.7757511, 109.2310001"
21577,Ngô Mây,Ngo May,Phường Ngô Mây,Ngo May Ward,ngo_may,540,"13.7655438, 109.2150447"
21580,Lý Thường Kiệt,Ly Thuong Kiet,Phường Lý Thường Kiệt,Ly Thuong Kiet Ward,ly_thuong_kiet,540,"13.7731665, 109.2228761"
21583,Lê Lợi,Le Loi,Phường Lê Lợi,Le Loi Ward,le_loi,540,"13.772068, 109.2341714"
21586,Trần Phú,Tran Phu,Phường Trần Phú,Tran Phu Ward,tran_phu,540,"13.7676918, 109.2279664"
21589,Bùi Thị Xuân,Bui Thi Xuan,Phường Bùi Thị Xuân,Bui Thi Xuan Ward,bui_thi_xuan,540,"13.763954, 109.1496416"
21592,Nguyễn Văn Cừ,Nguyen Van Cu,Phường Nguyễn Văn Cừ,Nguyen Van Cu Ward,nguyen_van_cu,540,"13.7564585, 109.2122563"
21595,Ghềnh Ráng,Ghenh Rang,Phường Ghềnh Ráng,Ghenh Rang Ward,ghenh_rang,540,"13.7445551, 109.2120116"
21598,Nhơn Lý,Nhon Ly,Xã Nhơn Lý,Nhon Ly Commune,nhon_ly,540,"13.8785304, 109.2914782"
21601,Nhơn Hội,Nhon Hoi,Xã Nhơn Hội,Nhon Hoi Commune,nhon_hoi,540,"13.8816491, 109.2490523"
21604,Nhơn Hải,Nhon Hai,Xã Nhơn Hải,Nhon Hai Commune,nhon_hai,540,"13.7649125, 109.2893614"
21607,Nhơn Châu,Nhon Chau,Xã Nhơn Châu,Nhon Chau Commune,nhon_chau,540,"13.6124856, 109.352831"
21609,An Lão,An Lao,Thị trấn An Lão,An Lao Township,an_lao,542,"14.5655964, 108.7620084"
21610,An Hưng,An Hung,Xã An Hưng,An Hung Commune,an_hung,542,"14.572629, 108.8975074"
21613,An Trung,An Trung,Xã An Trung,An Trung Commune,an_trung,542,"14.61208935, 108.8871752648055"
21616,An Dũng,An Dung,Xã An Dũng,An Dung Commune,an_dung,542,
21619,An Vinh,An Vinh,Xã An Vinh,An Vinh Commune,an_vinh,542,"21.2671813, 105.68683184331996"
21622,An Toàn,An Toan,Xã An Toàn,An Toan Commune,an_toan,542,
21625,An Tân,An Tan,Xã An Tân,An Tan Commune,an_tan,542,"14.5767734, 108.89911945639182"
21628,An Hòa,An Hoa,Xã An Hòa,An Hoa Commune,an_hoa,542,"14.55349275, 108.8998317245915"
21631,An Quang,An Quang,Xã An Quang,An Quang Commune,an_quang,542,"14.5247401, 108.8518228"
21634,An Nghĩa,An Nghia,Xã An Nghĩa,An Nghia Commune,an_nghia,542,"21.2671813, 105.68683184331996"
21637,Tam Quan,Tam Quan,Phường Tam Quan,Tam Quan Ward,tam_quan,543,"14.5481093, 109.0435156"
21640,Bồng Sơn,Bong Son,Phường Bồng Sơn,Bong Son Ward,bong_son,543,"14.4383758, 109.0192754"
